dataset,k,signature,orig_concentration,rand_mean_concentration,rand_std_concentration,enrichment_ratio,z_score,p_value,q,schedule,directed,random_graphs,swaps_per_edge,tries_per_swap,full_enumeration,seeds
Amazon0302,3,000001110,0.0736331094531387,0.11072618704734512,3.7621909858268e-07,0.6650017617029845,-98594.35029732985,1.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]"
Amazon0302,3,000001100,0.10344741267005446,0.10391993255787173,3.1984162344724705e-07,0.995453038929234,-1477.3558323161888,1.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]"
Amazon0302,3,000100100,0.48461454656380193,0.4349642880902082,6.842313935150319e-07,1.1141478963516578,72563.54932580706,0.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]"
Amazon0302,3,001001010,0.1679227834136707,0.196853397971618,8.54732238865636e-07,0.8530347209850121,-33847.5761676461,1.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]"
Amazon0302,3,000000110,0.04252700292123047,0.06592550889983782,1.4854768449926245e-07,0.6450765967668561,-157515.11750237702,1.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]"
Amazon0302,3,001101100,0.019658088306607566,7.346384646354686e-07,2.610144020223315e-07,26758.86065448807,75311.37560164636,0.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]"
Amazon0302,3,000100110,0.01596509545936963,5.883683808606943e-06,1.0363130064945918e-07,2713.4523163897934,153999.9177424616,0.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]"
Amazon0302,3,000101110,0.015492090231910633,2.484611852046411e-06,1.865069105377838e-07,6235.215459972477,83051.10826936678,0.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]"
Amazon0302,3,001001110,0.03410427491734663,0.08759898056360045,1.9694908278701183e-07,0.38932273752416025,-271616.93209866335,1.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]"
Amazon0302,3,011101110,0.015650463532764565,2.1819838344912995e-07,9.019552268183906e-08,71725.84546857224,173514.65869970847,0.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]"
Amazon0302,3,001101110,0.023217402251395267,1.137044752236983e-06,2.905847647678631e-07,20419.075155765102,79894.98425765579,0.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]"
Amazon0302,3,001100110,0.0035196043137509,1.137044776041628e-06,3.640463319529484e-07,3095.3964064666216,9664.88866980153,0.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]"
Amazon0302,3,001100010,0.000248125964958,1.0964748170180282e-07,1.4343363567681035e-13,2262.942669607343,1729136379.3854961,0.0,0.1,fine,True,100,100,3,True,"[1, 2, 3]"
