dataset,signature,triad,expected_concentration,observed_concentration,enrichment_ratio,z_score,T,T_connected,n,m,seed,method,lambda_correction
Amazon0302,000100100,021U,0.4412965393321698,0.4849212326699382,1.0988557340689489,243.55435235518644,100000,7684912,262111,1234877,1,exact_bender_canfield,True
Amazon0302,001001010,111D,1.69004638601769e-05,0.16768923313630657,9922.167493369105,113066.82922981466,100000,7684912,262111,1234877,1,exact_bender_canfield,True
Amazon0302,000001100,021C,0.39897057877371617,0.10326442254641302,0.25882716180177645,-1674.02336053215,100000,7684912,262111,1234877,1,exact_bender_canfield,True
Amazon0302,000001110,111U,6.2049867701613665e-06,0.07389453516188604,11908.894877460689,82229.22909986279,100000,7684912,262111,1234877,1,exact_bender_canfield,True
Amazon0302,000000110,021D,0.15969378916499433,0.04275247393854347,0.2677153204397446,-884.9620022159836,100000,7684912,262111,1234877,1,exact_bender_canfield,True
Amazon0302,001001110,201,1.301913182115415e-10,0.03408484052907828,261805787.0317857,8281131.899346193,100000,7684912,262111,1234877,1,exact_bender_canfield,True
Amazon0302,001101110,210,8.565783627784582e-15,0.02312908722962605,2700171780501.5415,692778487.7757789,100000,7684912,262111,1234877,1,exact_bender_canfield,True
Amazon0302,001101100,120D,2.715049875940465e-10,0.019645638102297074,72358295.42723237,3305191.878415292,100000,7684912,262111,1234877,1,exact_bender_canfield,True
Amazon0302,000100110,030T,1.344473844471263e-05,0.015847416339965895,1178.7076710442186,11971.154935652668,100000,7684912,262111,1234877,1,exact_bender_canfield,True
Amazon0302,011101110,300,5.1811731078037096e-20,0.015582351496022336,3.007494861067799e+17,189774735441.26147,100000,7684912,262111,1234877,1,exact_bender_canfield,True
Amazon0302,000101110,120U,1.045710154621139e-10,0.015438953627575696,147640850.18538654,4185348.6971199117,100000,7684912,262111,1234877,1,exact_bender_canfield,True
Amazon0302,001100110,120C,2.583790776522843e-10,0.0035123369011902804,13593735.7355112,605740.9191095855,100000,7684912,262111,1234877,1,exact_bender_canfield,True
Amazon0302,001100010,030C,2.541775414812385e-06,0.00023747832115709328,93.43009605536773,408.50934235659287,100000,7684912,262111,1234877,1,exact_bender_canfield,True
